BAS_DT,ISIN_CD,ITMS_NM,CLPR,VS,FLUC_RT,MKP,HIPR,LOPR,TR_QUANT,TR_PRC
20251230,KR70013P0000,RISE 미국은행TOP10,12235,-85,,12200,12250,12110,,240090897
20251230,KR70013R0008,RISE 테슬라미국채타겟커버드콜혼합(합성),9850,-50,,9860,9860,9750,,390532456
20251230,KR70015B0004,KoAct 미국나스닥성장기업액티브,13990,-10,,13990,14010,13800,,3347660031
20251230,KR70015E0001,KIWOOM 엔비디아미국30년국채혼합액티브(H),10667,-43,,10690,10690,10645,,51161457
20251230,KR70015F0000,KIWOOM 팔란티어미국30년국채혼합액티브(H),10990,-60,,11050,11050,10990,,284853403
20251230,KR70015K0003,TIGER 미국소비트렌드액티브,8255,-15,,8270,8270,8200,,6989290
20251230,KR70016X0007,SOL 중단기회사채(A-이상)액티브,50685,-30,,50710,50710,50680,,3983350420
20251230,KR70017Y0005,1Q 종합채권(AA-이상)액티브,98150,-30,,98300,98505,98150,,16709531
20251230,KR70018C0000,PLUS 고배당주위클리고정커버드콜,11825,60,,11765,11825,11700,,929606431
20251230,KR70018Z0003,RISE 미국양자컴퓨팅,15970,55,,15750,15970,15750,,276741699
20251230,KR70019K0009,TIMEFOLIO 미국나스닥100채권혼합50액티브,11440,-25,,11465,11465,11380,,1058122353
20251230,KR70020H0001,KoAct 글로벌양자컴퓨팅액티브,19060,35,,19000,19130,18900,,672550624
20251230,KR70021C0005,ACE 장기자산배분액티브,12410,-30,,12540,12540,12310,,362889837
20251230,KR70021D0004,ACE TDF2030액티브,11025,-35,,11025,11050,11025,,263438016
20251230,KR70021E0003,ACE TDF2050액티브,11915,-35,,12295,12295,11800,,661871212
20251230,KR70022T0005,SOL 국제금커버드콜액티브,14010,-310,,13835,14010,13800,,2564650294
20251230,KR70023A0005,SOL 미국양자컴퓨팅TOP10,26100,250,,25845,26100,25605,,10298971004
20251230,KR70023B0004,PLUS 미국양자컴퓨팅TOP10,17005,255,,16755,17095,16570,,690577784
20251230,KR70025N0008,TIGER TDF2045,11450,60,,11350,11450,11350,,5065786078
20251230,KR70026E0008,KODEX 미국S&P500버퍼3월액티브,10900,35,,10865,10900,10860,,62740185
20251230,KR70026S0002,1Q 미국S&P500,12085,35,,12020,12085,11990,,3976618895
20251230,KR70028X0003,KODEX 미국금융테크액티브,12575,-25,,12595,12595,12460,,162908825
20251230,KR70035T0000,PLUS 글로벌휴머노이드로봇액티브,17950,-135,,17990,17990,17785,,1259776715
20251230,KR70036D0007,TIMEFOLIO 미국배당다우존스액티브,10465,25,,10445,10465,10360,,1202190708
20251230,KR70036R0001,RISE 미국휴머노이드로봇,15855,20,,15740,15865,15725,,2710685930
20251230,KR70036Z0001,RISE 미국천연가스밸류체인,10530,95,,10435,10550,10390,,20406825
20251230,KR70038A0008,KODEX 미국휴머노이드로봇,15865,-80,,15795,15865,15750,,4341650898
20251230,KR70040S0004,HANARO 글로벌피지컬AI액티브,16115,45,,16060,16115,15900,,151252427
20251230,KR70040X0007,SOL 팔란티어미국채커버드콜혼합,11320,-45,,11345,11345,11200,,4330963941
20251230,KR70040Y0006,SOL 팔란티어커버드콜OTM채권혼합,9955,-55,,10005,10005,9925,,5478715581
20251230,KR70041D0000,KODEX 미국AI소프트웨어TOP10,15300,-100,,15240,15300,15175,,784646917
20251230,KR70041E0009,KODEX 미국S&P500액티브,14010,0,,13960,14015,13895,,1138894724
20251230,KR70043B0000,TIGER 머니마켓액티브,101280,25,,101285,101295,101280,,11593071445
20251230,KR70043Y0003,TIMEFOLIO 차이나AI테크액티브,14340,415,,13705,14340,13705,,1912169137
20251230,KR70046A0008,TIGER 미국초단기(3개월이하)국채,9970,60,,9910,9970,9875,,8154015676
20251230,KR70046Y0000,ACE 미국배당퀄리티,11895,55,,11845,11895,11800,,229647867
20251230,KR70047A0007,TIGER 차이나테크TOP10,12135,180,,11955,12140,11845,,4001600156
20251230,KR70047N0002,PLUS 차이나AI테크TOP10,11575,260,,11530,11575,11120,,101626215
20251230,KR70047P0000,RISE 테슬라고정테크100,14170,-95,,14145,14200,14050,,176994851
20251230,KR70047R0008,RISE 팔란티어고정테크100,14120,-15,,14125,14125,14030,,203499896
20251230,KR70048J0007,KODEX 미국머니마켓액티브,14415,100,,14335,14415,14300,,11807396172
20251230,KR70048K0004,KODEX 차이나휴머노이드로봇,11785,945,,10860,11785,10850,,27757264639
20251230,KR70049K0003,ACE 미국배당퀄리티채권혼합50,10895,10,,10885,10895,10860,,100051134
20251230,KR70049M0001,ACE 미국배당퀄리티+커버드콜액티브,11330,60,,11300,11330,11235,,489887796
20251230,KR70050E0007,PLUS 미국AI에이전트,9875,75,,9805,9890,9805,,12947055
20251230,KR70051A0000,KoAct 브로드컴밸류체인액티브,16400,170,,16230,16435,16190,,227974870
20251230,KR70051G0004,SOL 미국원자력SMR,15765,-135,,15860,15860,15700,,4559758456
20251230,KR70052D0006,TIGER 코리아배당다우존스,13290,-20,,13345,13345,13235,,3193659173
20251230,KR70052S0009,1Q 미국S&P500미국채혼합50액티브,11410,35,,11365,11410,11325,,4021983605
20251230,KR70052T0008,1Q 중단기회사채(A-이상)액티브,50020,5,,50045,50045,50010,,2015280925
20251230,KR70053L0005,TIGER 차이나휴머노이드로봇,13715,805,,12910,13715,12875,,21535593711
20251230,KR70053M0004,더제이 중소형포커스액티브,10355,-110,,10390,10425,10350,,61524420
20251230,KR70057H0007,PLUS 미국S&P500미국채혼합50액티브,11445,35,,11400,11450,11375,,1401148355
20251230,KR70060H0002,TIGER 토탈월드스탁액티브,11845,-35,,11875,11875,11780,,1469574078
20251230,KR70061Z0009,RISE 단기특수은행채액티브,50055,5,,50050,50055,50050,,17468770
20251230,KR70064K0003,KODEX 금액티브,13165,-295,,13065,13170,12980,,9174287784
20251230,KR70065G0008,KODEX 차이나테크TOP10,11135,255,,10885,11135,10785,,224082356
20251230,KR70066W0007,SOL 국제금,13375,-280,,13240,13375,13130,,3584393556
20251230,KR70067V0007,TIGER 차이나글로벌리더스TOP3+,11390,110,,11105,11440,10860,,518843130
20251230,KR70067Y0004,TIGER 차이나AI소프트웨어,12315,180,,12235,12325,12060,,128154191
20251230,KR70068M0007,KODEX 미국S&P500버퍼6월액티브,11505,0,,11505,11505,11400,,66715340
20251230,KR70069M0006,1Q 미국나스닥100,12195,10,,12120,12195,12115,,4333883340
20251230,KR70072R0006,TIGER KRX금현물,13850,-160,,13455,13870,13455,,32019614310
20251230,KR70073X0007,FOCUS 알리바바미국채커버드콜혼합,10940,-70,,11140,11140,10880,,58003690
20251230,KR70074K0001,KoAct K수출핵심기업TOP30액티브,12530,35,,12495,12550,12450,,1717142618
20251230,KR70078V0004,PLUS 미국로보택시,12230,15,,12165,12230,12030,,50281522
20251230,KR70079X0001,ACE BYD밸류체인액티브,12530,260,,12270,12530,11750,,93190502
20251230,KR70080G0009,KODEX K방산TOP10,9940,-130,,9955,10035,9805,,9723604760
20251230,KR70080X0008,SOL 미국S&P500미국채혼합50,11075,45,,11025,11075,10995,,2081168167
20251230,KR70080Y0007,SOL 조선TOP3플러스레버리지,15615,-515,,16040,16040,15500,,4637693964
20251230,KR70082F0008,HANARO 유럽방산,10335,-105,,10365,10365,10290,,4308260
20251230,KR70082V0008,KODEX TDF2060액티브,10980,15,,10965,10985,10925,,1618559187
20251230,KR70083S0002,1Q 미국메디컬AI,11535,-40,,11495,11545,11440,,1273753465
20251230,KR70084D0008,KIWOOM 미국테크100월간목표헤지액티브,10695,0,,10695,10720,10620,,1630927732
20251230,KR70084E0007,KIWOOM 미국대형주500월간목표헤지액티브,10070,20,,10050,10070,10005,,575890870
20251230,KR70085N0005,ACE 미국10년국채액티브(H),10160,15,,10085,10165,10080,,1410392600
20251230,KR70085P0003,ACE 미국10년국채액티브,10605,85,,10565,10605,10540,,2698516017
20251230,KR70086B0008,TIGER 리츠부동산인프라TOP10액티브,10400,70,,10390,10400,10325,,327938324
20251230,KR70086C0007,TIGER 리츠부동산인프라10채권혼합액티브,10195,30,,10190,10220,10140,,551010220
20251230,KR70087F0003,ACE 차이나AI빅테크TOP2+액티브,11070,130,,11000,11090,10745,,86481539
20251230,KR70088N0002,WON K-글로벌수급상위,11055,-5,,11080,11080,10950,,951731580
20251230,KR70089B0005,PLUS 미국나스닥100미국채혼합50,10795,45,,10770,10795,10715,,288902085
20251230,KR70089C0004,KODEX 미국S&P500변동성확대시커버드콜,11010,0,,11035,11050,10930,,86299239
20251230,KR70089D0003,KODEX 금융고배당TOP10,10695,-35,,10730,10745,10650,,2978953995
20251230,KR70090B0002,PLUS K방산소부장,9430,-85,,9510,9510,9325,,123636235
20251230,KR70091C0000,KODEX 미국10년국채액티브(H),10080,10,,10085,10090,10075,,690374413
20251230,KR70091M0008,HANARO 27-06 회사채(AA-이상)액티브,10030,0,,10030,10030,10030,,401200
20251230,KR70091P0005,TIGER 코리아원자력,10540,-60,,10555,10695,10500,,6553585139
20251230,KR70092B0000,SOL 한국원자력SMR,10625,-65,,10665,10755,10590,,876125450
20251230,KR70092C0009,SOL 27-12 회사채(AA-이상)액티브,49680,-25,,49715,49715,49680,,417888810
20251230,KR70093A0000,RISE AI반도체TOP10,16510,-225,,16650,16780,16410,,29890247250
20251230,KR70093B0009,RISE 엔비디아고정테크100,11285,-35,,11285,11305,11210,,84425551
20251230,KR70093D0007,KoAct 팔란티어밸류체인액티브,12540,-50,,12360,12540,12360,,393406025
20251230,KR70094K0007,TIGER 28-04 회사채(A+이상)액티브,99395,-85,,99485,99550,99395,,708281220
20251230,KR70094L0006,RISE 차이나테크TOP10위클리타겟커버드콜,10100,95,,10285,10285,9955,,633078734
20251230,KR70094M0005,RISE 코리아밸류업위클리고정커버드콜,12835,80,,12780,12870,12730,,222643094
20251230,KR70094X0002,1Q 샤오미밸류체인액티브,9710,175,,9535,9710,9475,,557549872
20251230,KR70097L0003,KIWOOM 한국고배당&미국AI테크,10935,50,,10885,10970,10880,,1690313851
20251230,KR70098F0000,KODEX K원자력SMR,11000,-60,,11060,11185,10955,,2955816752
20251230,KR70098N0000,PLUS 자사주매입고배당주,10845,-10,,10850,10860,10795,,1128669737
20251230,KR70098Z0006,FOCUS 200,51965,90,,51875,52200,51875,,63139135
20251230,KR70099L0001,ACE 우량회사채(AA-이상)액티브,99190,130,,99240,99240,99190,,15971460
20251230,KR70100K0009,KODEX K방산TOP10레버리지,8175,-275,,8435,8435,7990,,3273960160
20251230,KR70101N0005,RISE AI전력인프라,12250,-240,,12455,12455,12210,,1179081314
20251230,KR70102A0009,TIGER 미국AI소프트웨어TOP4Plus,10590,-105,,10540,10590,10485,,828345612
20251230,KR70102X0002,ACE 유럽방산TOP10,9125,0,,9200,9200,9027,,76571392
20251230,KR70103T0007,1Q K소버린AI,10005,-10,,10015,10035,9915,,1522706804
20251230,KR70104G0001,PLUS K방산레버리지,8230,-245,,8380,8380,8045,,668586379
20251230,KR70104H0000,KoAct 미국나스닥채권혼합50액티브,10375,-50,,10435,10435,10345,,140758942
20251230,KR70104N0002,TIGER 200타겟위클리커버드콜,12440,50,,12390,12490,12355,,1851149739
20251230,KR70104P0000,TIGER 코리아배당다우존스위클리커버드콜,10180,-5,,10180,10180,10090,,516660940
20251230,KR70105D0003,SOL 한국AI소프트웨어,10510,40,,10430,10510,10400,,1833901643
20251230,KR70105E0002,SOL 코리아고배당,10830,-5,,10805,10830,10760,,5411260533
20251230,KR70107F0009,KIWOOM 미국고배당&AI테크,10290,-20,,10310,10320,10270,,1595486539
20251230,KR70111J0009,HANARO 증권고배당TOP3플러스,10000,-190,,10190,10190,9995,,372899385
20251230,KR70111P0001,1Q 미국나스닥100미국채혼합50액티브,10420,30,,10370,10420,10320,,2941610538
20251230,KR70112X0000,마이티 200TR,22780,55,,22595,22810,22595,,19708655
20251230,KR70113D0003,TIMEFOLIO 글로벌탑픽액티브,9950,-5,,9960,9960,9830,,420770761
20251230,KR70113G0000,KoAct 미국바이오헬스케어액티브,10395,-60,,10455,10455,10375,,3433325554
20251230,KR70113P0009,HK 머니마켓액티브,100425,5,,100420,100425,100420,,1004210
20251230,KR70114X0008,RISE 글로벌게임테크TOP3Plus,9100,70,,9150,9150,9040,,21216706
20251230,KR70115C0002,RISE 미국고배당다우존스TOP10,10590,15,,10585,10595,10500,,170602654
20251230,KR70115D0001,KODEX K조선TOP10,8930,-130,,9020,9020,8900,,4813692239
20251230,KR70115E0000,KODEX 코리아소버린AI,10545,-55,,10635,10635,10545,,2082846103
20251230,KR70117L0009,KODEX 26-12 금융채(AA-이상)액티브,9955,-25,,9975,9975,9955,,316355195
20251230,KR70117V0007,TIGER 코리아AI전력기기TOP3플러스,12170,-290,,12395,12400,12150,,10891039939
20251230,KR70118S0001,SOL 미국넥스트테크TOP10액티브,8545,-55,,8460,8545,8450,,2210039505
20251230,KR70118Z0002,ACE 미국AI테크핵심산업액티브,8315,-170,,8495,8495,8290,,1369459525
20251230,KR70119H0003,KODEX 28-12 회사채(AA-이상)액티브,9960,0,,9960,9965,9960,,37092060
20251230,KR70120J0008,BNK 카카오그룹포커스,10410,45,,10355,10455,10280,,165968665
20251230,KR70122W0009,RISE 26-11 회사채(AA-이상)액티브,50050,-10,,50050,50055,50050,,163371635
20251230,KR70123G0008,TIGER 미국AI전력SMR,7265,-95,,7255,7275,7180,,4513181724
20251230,KR70123S0004,HANARO 26-12 은행채(AA+이상)액티브,10025,5,,10050,10055,10015,,31134695
20251230,KR70127M0006,ACE 미국대형가치주액티브,10390,90,,10545,10545,10325,,42484340
20251230,KR70127P0003,ACE 미국대형성장주액티브,10070,15,,10050,10070,9985,,307386350
20251230,KR70127R0001,RISE 미국AI클라우드인프라,10335,-50,,10275,10335,10235,,2527467671
20251230,KR70127T0009,KIWOOM 미국S&P500&배당다우존스비중전환,10140,30,,10110,10140,10055,,734477498
20251230,KR70127V0005,KIWOOM 미국S&P500 TOP10&배당다우비중전환,10090,-50,,10110,10110,10035,,803211612
20251230,KR70128D0006,PLUS 차이나항셍테크위클리타겟커버드콜,9255,85,,9170,9295,9060,,179152680
20251230,KR70131A0004,SOL 차이나소비트렌드,9225,-170,,9385,9385,9105,,864306962
20251230,KR70131V0009,1Q 미국우주항공테크,12690,-70,,12555,12690,12510,,10274223546
20251230,KR70131W0008,1Q 단기특수은행채액티브,100300,35,,100295,100305,100295,,17352670
20251230,KR70132D0000,KoAct 글로벌K컬처밸류체인액티브,10250,245,,10195,10295,10035,,1784866871
20251230,KR70132H0006,KODEX 미국원자력SMR,9820,-130,,9935,9935,9785,,6336051179
20251230,KR70132K0001,PLUS 테슬라위클리커버드콜채권혼합,10040,-65,,10075,10100,9980,,3251458848
20251230,KR70135Y0002,ITF 중기종합채권(AA-이상)액티브,100310,-65,,100375,100375,100310,,7225970
20251230,KR70137V0003,KIWOOM 미국S&P500모멘텀,9815,0,,9740,9815,9710,,2315814593
20251230,KR70137W0002,KIWOOM 미국S&P500&GOLD,9820,-85,,9810,9820,9770,,2111841413
20251230,KR70138D0004,RISE 동학개미,10200,-20,,10220,10220,10130,,1952069655
20251230,KR70138T0006,RISE 미국S&P500데일리고정커버드콜,9795,35,,9720,9795,9720,,2767915927
20251230,KR70138Y0009,PLUS 금채권혼합,10020,-120,,10010,10045,9950,,3967150695
20251230,KR70139F0001,TIGER 12월자동연장금융채(AA-이상)액티브,100245,0,,100250,100250,100235,,118888010
20251230,KR70139P0009,ACE 고배당주,11005,-30,,11010,11040,10955,,4706783890
20251230,KR70141S0002,SOL 조선기자재,9830,-80,,9940,9940,9750,,2507810785
20251230,KR70141T0001,SOL 중기종합채권(AA-이상)액티브,50200,-5,,50225,50225,50200,,3112680
20251230,KR70142D0008,TIGER 미국AI데이터센터TOP4Plus,8610,-25,,8540,8630,8470,,3931110838
20251230,KR70144L0006,KODEX 미국성장커버드콜액티브,9825,25,,9790,9825,9735,,11313632939
20251230,KR70144M0005,KODEX 미국드론UAM TOP10,9630,-40,,9530,9630,9525,,569949904
20251230,KR7069500007,KODEX 200,60895,175,,60455,61135,60330,,669062618781
20251230,KR7069660009,KIWOOM 200,60945,245,,60440,61100,60310,,5866989685
20251230,KR7091160002,KODEX 반도체,61300,545,,60735,61700,60245,,121991780124
20251230,KR7091170001,KODEX 은행,12655,-125,,12685,12705,12605,,5190983195
20251230,KR7091180000,KODEX 자동차,24860,255,,24490,24880,24480,,10439739536
20251230,KR7091220004,TIGER 은행,13200,-135,,13270,13270,13165,,541285835
20251230,KR7091230003,TIGER 반도체,64040,290,,63270,64700,63270,,29203870311
20251230,KR7099140006,KODEX 차이나H,23900,295,,23610,23900,23480,,187550677
20251230,KR7100910009,KIWOOM KRX100,9550,70,,9480,9575,9480,,42632545
20251230,KR7101280006,KODEX 일본TOPIX100,26695,10,,26370,26885,26370,,246756934
20251230,KR7102110004,TIGER 200,60930,175,,60520,61190,60390,,157011225004
20251230,KR7102780004,KODEX 삼성그룹,13970,-55,,14000,14025,13945,,5778225406
20251230,KR7102960002,KODEX 기계장비,13350,-350,,13435,13485,13320,,135639583
20251230,KR7102970001,KODEX 증권,15235,-295,,15450,15470,15225,,9705880785
20251230,KR7104520002,KIWOOM 블루칩,11755,-35,,11770,11800,11725,,10015672
20251230,KR7104530001,KIWOOM 고배당,15670,15,,15560,15670,15545,,282824220
20251230,KR7105010003,TIGER 라틴35,5670,-5,,5670,5670,5620,,31516901
20251230,KR7105190003,ACE 200,61270,235,,60780,61445,60650,,17636175492
20251230,KR7105780001,RISE 5대그룹주,9640,55,,9580,9645,9555,,161653176
20251230,KR7108450008,ACE 삼성그룹섹터가중,23080,-40,,23085,23095,22950,,336081482
20251230,KR7108590001,TREX 200,61000,240,,60630,61095,60630,,4630665
20251230,KR7114100001,RISE 국고채3년,108035,-130,,108145,108235,108035,,104573840
20251230,KR7114260003,KODEX 국고채3년,61775,0,,61825,61855,61760,,1237772919
20251230,KR7114460009,ACE 국고채3년,101945,-70,,102090,102135,101945,,705749054
20251230,KR7114470008,KIWOOM 국고채3년,109220,-30,,109275,109310,109220,,58238615
20251230,KR7114800006,KODEX 인버스,2430,-10,,2450,2460,2420,,76446516935
20251230,KR7114820004,TIGER 국채3년,105000,-95,,107000,107000,105000,,825596475
20251230,KR7117460006,KODEX 에너지화학,12655,-90,,12720,12720,12600,,218580880
20251230,KR7117680009,KODEX 철강,12480,-340,,12635,12670,12470,,452840270
20251230,KR7117690008,TIGER 차이나항셍30,22090,195,,22075,22090,21980,,50630255
20251230,KR7117700005,KODEX 건설,4115,5,,4095,4135,4050,,1254182026
20251230,KR7122090004,PLUS 코스피50,43695,220,,43475,43895,43325,,419936654
20251230,KR7122260003,KIWOOM 통안채1년,102660,0,,102665,102665,102660,,633745695
20251230,KR7122630007,KODEX 레버리지,47785,245,,47345,48200,46925,,676062714675
20251230,KR7123310005,TIGER 인버스,2750,25,,2740,2750,2710,,1220420717
20251230,KR7123320004,TIGER 레버리지,47290,250,,46700,47700,45800,,4122088046
20251230,KR7130680002,TIGER 원유선물Enhanced(H),3830,40,,3795,3835,3785,,561396222
20251230,KR7130730005,KIWOOM 단기자금,101300,45,,101275,102195,101275,,24685246266
20251230,KR7131890006,ACE 삼성그룹동일가중,27320,-200,,27545,27545,27320,,4003272
20251230,KR7132030008,KODEX 골드선물(H),25235,-720,,25095,25300,24975,,8549862532
20251230,KR7133690008,TIGER 미국나스닥100,163025,160,,162185,163025,156305,,55462865413
20251230,KR7136340007,RISE 중기우량회사채,106045,25,,106000,106115,106000,,165060940
20251230,KR7137610002,TIGER 농산물선물Enhanced(H),5075,-50,,5100,5100,5055,,147093415
20251230,KR7138230008,KIWOOM 미국달러선물,16535,40,,16465,16535,16405,,80019487
20251230,KR7138520002,TIGER 삼성그룹펀더멘털,18785,-50,,18830,18845,18680,,610786515
20251230,KR7138530001,TIGER LG그룹+펀더멘털,8640,10,,8650,8650,8555,,247236189
20251230,KR7138540000,TIGER 현대차그룹+펀더멘털,42510,340,,42075,42510,41855,,4487520100
20251230,KR7138910005,KODEX 구리선물(H),9045,-185,,8855,9105,8830,,4345845954
20251230,KR7138920004,KODEX 콩선물(H),11020,-105,,11015,11025,10985,,22507190
20251230,KR7139220008,TIGER 200 건설,4625,-5,,4635,4660,4605,,729719811
20251230,KR7139230007,TIGER 200 중공업,13300,-255,,13370,13480,13300,,4620171659
20251230,KR7139240006,TIGER 200 철강소재,12350,-220,,12450,12450,12210,,149088620
20251230,KR7139250005,TIGER 200 에너지화학,13595,45,,13415,13595,13415,,494715062
20251230,KR7139260004,TIGER 200 IT,56540,610,,55875,56695,55750,,32580648376
20251230,KR7139270003,TIGER 200 금융,12800,-105,,12845,12855,12750,,939941691
20251230,KR7139280002,TIGER 경기방어,12280,-55,,12320,12320,12195,,1050997610
20251230,KR7139290001,TIGER 200 경기소비재,21380,235,,21110,21405,21110,,86212595
20251230,KR7139320006,TIGER 금은선물(H),19210,-545,,18915,19270,18890,,2025622496
20251230,KR7139660005,KIWOOM 미국달러선물인버스,8095,-10,,8135,8140,8095,,3565125
20251230,KR7140570003,RISE 수출주,18030,-145,,18065,18065,17940,,18195130
20251230,KR7140580002,RISE 우량업종대표주,18045,-45,,18095,18110,18040,,397355
20251230,KR7140700006,KODEX 보험,12855,75,,12820,12875,12740,,608261000
20251230,KR7140710005,KODEX 운송,5885,-15,,5910,5910,5855,,78915791
20251230,KR7140950007,파워 코스피100,46995,325,,46655,47055,46655,,216248574
20251230,KR7143850006,TIGER 미국S&P500선물(H),71235,-245,,71240,71270,71190,,173085443
20251230,KR7143860005,TIGER 헬스케어,47975,125,,47695,48050,47440,,4341732798
20251230,KR7144600004,KODEX 은선물(H),12605,-515,,12280,12675,12135,,95383374247
20251230,KR7145670006,ACE 인버스,3045,-10,,3080,3080,3030,,82875907
20251230,KR7145850004,TREX 펀더멘탈 200,65090,90,,65155,65155,65090,,195340
20251230,KR7147970008,TIGER 모멘텀,51535,-305,,51530,51805,51330,,188201202
20251230,KR7148020001,RISE 200,61400,195,,60925,61630,60845,,51980251356
20251230,KR7148070006,KIWOOM 국고채10년,109180,-250,,109580,109765,109180,,1629156752
20251230,KR7150460004,TIGER 중국소비테마,7255,0,,7255,7315,7245,,166511846
20251230,KR7152100004,PLUS 200,62135,335,,61615,62155,61430,,16922776232
20251230,KR7152380002,KODEX 국채선물10년,67780,-85,,68030,68145,67780,,253269501
20251230,KR7152500005,ACE 레버리지,19385,135,,19120,19500,19025,,536945495
20251230,KR7152870002,파워 200,61460,70,,61245,61760,61245,,5301930
20251230,KR7153130000,KODEX 단기채권,113490,15,,113480,113495,113465,,8396833506
20251230,KR7153270004,KIWOOM 코스피100,46220,120,,46005,46415,45870,,360398755
20251230,KR7156080004,KODEX MSCI Korea,28260,60,,28230,28450,28200,,29218205
20251230,KR7157450008,TIGER 단기통안채,110810,15,,110810,112500,110800,,25001373996
20251230,KR7157490004,TIGER 소프트웨어,9355,-25,,9350,9405,9320,,1312000156
20251230,KR7157500000,TIGER 증권,10425,-185,,10570,10570,10390,,1785097057
20251230,KR7159800002,마이티 코스피100,47565,55,,47735,47905,47470,,31199550
20251230,KR7160580007,TIGER 구리실물,15455,200,,14770,15550,14720,,6635349305
20251230,KR7161510003,PLUS 고배당주,21275,0,,21260,21275,21135,,11809548082
20251230,KR7166400002,TIGER 200커버드콜OTM,17365,80,,17285,17390,17230,,99992150
20251230,KR7167860006,KIWOOM 국고채10년레버리지,102505,-205,,103115,103115,102505,,2570290
20251230,KR7168580009,ACE 중국본토CSI300,34765,505,,34250,35990,33845,,2236460102
20251230,KR7169950003,KODEX 차이나A50,26140,125,,25880,26140,25750,,202105252
20251230,KR7174350009,TIGER 로우볼,17915,20,,17945,17960,17835,,13855885
20251230,KR7174360008,RISE 중국본토대형주CSI100,23565,365,,23495,23565,23115,,256160615
20251230,KR7176950004,KODEX 국채선물10년인버스,56255,-95,,56255,56255,56255,,112510
20251230,KR7181480005,ACE 미국부동산리츠(합성 H),80135,435,,79700,80160,79700,,6960280
20251230,KR7182480004,TIGER 미국MSCI리츠(합성 H),12430,40,,12390,12435,12385,,297835196
20251230,KR7182490003,TIGER 단기선진하이일드(합성 H),13730,5,,13795,13805,13730,,11484190
20251230,KR7183700004,RISE 채권혼합,74200,250,,73950,74365,73870,,106963625
20251230,KR7183710003,RISE 주식혼합,59755,370,,59565,59755,59565,,119320
20251230,KR7185680006,KODEX 미국S&P바이오(합성),38415,-215,,38130,38475,38080,,213124389
20251230,KR7189400005,PLUS 글로벌MSCI(합성 H),23425,-60,,23425,23425,23425,,819875
20251230,KR7190620005,ACE 단기통안채,100390,30,,100380,100395,100380,,410299246
20251230,KR7192090009,TIGER 차이나CSI300,12545,130,,12410,12557,12335,,1151897104
20251230,KR7192720001,파워 고배당저변동성,47405,75,,47730,47730,47215,,37988575
20251230,KR7195920004,TIGER 일본TOPIX(합성 H),29255,130,,29125,29320,29100,,23074910
20251230,KR7195930003,TIGER 유로스탁스50(합성 H),20935,-10,,20970,20970,20765,,83636088
20251230,KR7195970009,PLUS 선진국MSCI(합성 H),14965,75,,15015,15030,14920,,259287221
20251230,KR7195980008,PLUS 신흥국MSCI(합성 H),12365,25,,12460,12460,12340,,465137222
20251230,KR7196030001,ACE 일본TOPIX레버리지(H),63565,-920,,63900,64255,63565,,27406860
20251230,KR7196230007,RISE 단기통안채,115190,25,,115190,115210,115190,,2830775769
20251230,KR7200030005,KODEX 미국S&P500산업재(합성),38990,75,,38915,39045,38685,,365337607
20251230,KR7200250009,KIWOOM 인도Nifty50(합성),25820,100,,25720,25820,25700,,1089157690
